Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
214,Salinas South II,Monterey Bay,5/18/2018,1300,138,0.63, ,0.00, ,903, ,1.3, ,19.1, ,59, ,10.8, ,3.1, ,316, ,16.4, 
214,Salinas South II,Monterey Bay,5/18/2018,1400,138,0.59, ,0.00, ,821, ,1.3, ,18.9, ,59, ,10.8, ,3.9, ,318, ,16.7, 
214,Salinas South II,Monterey Bay,5/18/2018,1500,138,0.48, ,0.00, ,681, ,1.3, ,17.7, ,63, ,10.6, ,4.1, ,318, ,17.1, 
214,Salinas South II,Monterey Bay,5/18/2018,1600,138,0.20, ,0.00, ,312, ,1.3, ,15.9, ,70, ,10.4, ,3.7, ,318, ,17.3, 
214,Salinas South II,Monterey Bay,5/18/2018,1700,138,0.09, ,0.00, ,138, ,1.3, ,14.7, ,75, ,10.3, ,3.4, ,317, ,17.5, 
214,Salinas South II,Monterey Bay,5/18/2018,1800,138,0.05, ,0.00, ,52, ,1.2, ,13.8, ,79, ,10.2, ,3.3, ,327, ,17.5, 
214,Salinas South II,Monterey Bay,5/18/2018,1900,138,0.02, ,0.00, ,12, ,1.2, ,13.3, ,82, ,10.3, ,3.2, ,325, ,17.4, 
214,Salinas South II,Monterey Bay,5/18/2018,2000,138,0.01, ,0.00, ,0, ,1.3, ,12.8, ,85, ,10.4, ,3.2, ,329, ,17.3, 
214,Salinas South II,Monterey Bay,5/18/2018,2100,138,0.01, ,0.00, ,0, ,1.3, ,12.7, ,86, ,10.4, ,3.0, ,344, ,17.2, 
214,Salinas South II,Monterey Bay,5/18/2018,2200,138,0.00, ,0.00, ,0, ,1.3, ,12.4, ,87, ,10.3, ,2.8, ,339, ,17.0, 
214,Salinas South II,Monterey Bay,5/18/2018,2300,138,0.00, ,0.00, ,0, ,1.3, ,12.2, ,89, ,10.4, ,2.9, ,330, ,16.8, 
214,Salinas South II,Monterey Bay,5/18/2018,2400,138,0.00, ,0.00, ,0, ,1.3, ,12.2, ,89, ,10.4, ,2.8, ,320, ,16.7, 
214,Salinas South II,Monterey Bay,5/19/2018,0100,139,0.00, ,0.00, ,0, ,1.3, ,12.1, ,89, ,10.4, ,3.1, ,298, ,16.5, 
214,Salinas South II,Monterey Bay,5/19/2018,0200,139,0.00, ,0.00, ,0, ,1.2, ,11.8, ,88, ,9.9, ,2.9, ,311, ,16.4, 
214,Salinas South II,Monterey Bay,5/19/2018,0300,139,0.01, ,0.00, ,0, ,1.2, ,11.8, ,85, ,9.4, ,2.7, ,315, ,16.3, 
214,Salinas South II,Monterey Bay,5/19/2018,0400,139,0.01, ,0.00, ,0, ,1.2, ,11.7, ,85, ,9.3, ,2.5, ,314, ,16.2, 
214,Salinas South II,Monterey Bay,5/19/2018,0500,139,0.01, ,0.00, ,0, ,1.2, ,11.7, ,85, ,9.3, ,2.5, ,312, ,16.1, 
214,Salinas South II,Monterey Bay,5/19/2018,0600,139,0.01, ,0.00, ,7, ,1.2, ,11.7, ,85, ,9.2, ,2.3, ,308, ,16.0, 
214,Salinas South II,Monterey Bay,5/19/2018,0700,139,0.03, ,0.00, ,35, ,1.2, ,12.0, ,83, ,9.2, ,2.2, ,311, ,15.9, 
214,Salinas South II,Monterey Bay,5/19/2018,0800,139,0.05, ,0.00, ,100, ,1.2, ,12.5, ,81, ,9.4, ,2.0, ,315, ,15.8, 
214,Salinas South II,Monterey Bay,5/19/2018,0900,139,0.17, ,0.00, ,315, ,1.2, ,13.5, ,76, ,9.4, ,2.3, ,334, ,15.7, 
214,Salinas South II,Monterey Bay,5/19/2018,1000,139,0.40, ,0.00, ,644, ,1.2, ,15.0, ,70, ,9.6, ,2.8, ,339, ,15.7, 
214,Salinas South II,Monterey Bay,5/19/2018,1100,139,0.57, ,0.00, ,850, ,1.2, ,16.7, ,63, ,9.6, ,3.4, ,330, ,15.8, 
214,Salinas South II,Monterey Bay,5/19/2018,1200,139,0.63, ,0.00, ,914, ,1.2, ,17.6, ,59, ,9.5, ,3.6, ,328, ,16.0, 
214,Salinas South II,Monterey Bay,5/19/2018,1300,139,0.63, ,0.00, ,907, ,1.2, ,17.5, ,59, ,9.5, ,3.7, ,321, ,16.4, 
214,Salinas South II,Monterey Bay,5/19/2018,1400,139,0.56, ,0.00, ,805, ,1.2, ,17.4, ,60, ,9.7, ,3.8, ,318, ,16.7, 
214,Salinas South II,Monterey Bay,5/19/2018,1500,139,0.42, ,0.00, ,602, ,1.2, ,17.0, ,62, ,9.7, ,3.7, ,317, ,17.1, 
214,Salinas South II,Monterey Bay,5/19/2018,1600,139,0.27, ,0.00, ,385, ,1.2, ,16.1, ,64, ,9.2, ,3.7, ,311, ,17.3, 
214,Salinas South II,Monterey Bay,5/19/2018,1700,139,0.17, ,0.00, ,235, ,1.1, ,15.1, ,67, ,9.0, ,3.5, ,313, ,17.5, 
214,Salinas South II,Monterey Bay,5/19/2018,1800,139,0.12, ,0.00, ,131, ,1.1, ,14.3, ,69, ,8.7, ,3.6, ,311, ,17.5, 
214,Salinas South II,Monterey Bay,5/19/2018,1900,139,0.05, ,0.00, ,48, ,1.1, ,13.3, ,73, ,8.6, ,3.3, ,306, ,17.5, 
214,Salinas South II,Monterey Bay,5/19/2018,2000,139,0.02, ,0.00, ,1, ,1.1, ,12.6, ,76, ,8.6, ,3.0, ,301, ,17.3, 
214,Salinas South II,Monterey Bay,5/19/2018,2100,139,0.01, ,0.00, ,0, ,1.1, ,12.6, ,78, ,8.8, ,2.8, ,310, ,17.2, 
214,Salinas South II,Monterey Bay,5/19/2018,2200,139,0.01, ,0.00, ,0, ,1.1, ,12.4, ,79, ,8.9, ,2.7, ,312, ,17.0, 
214,Salinas South II,Monterey Bay,5/19/2018,2300,139,0.01, ,0.00, ,0, ,1.1, ,12.4, ,79, ,8.7, ,2.9, ,309, ,16.9, 
214,Salinas South II,Monterey Bay,5/19/2018,2400,139,0.01, ,0.00, ,0, ,1.1, ,12.2, ,79, ,8.6, ,2.9, ,297, ,16.7, 
214,Salinas South II,Monterey Bay,5/20/2018,0100,140,0.01, ,0.00, ,0, ,1.1, ,12.0, ,79, ,8.5, ,2.6, ,300, ,16.6, 
214,Salinas South II,Monterey Bay,5/20/2018,0200,140,0.01, ,0.00, ,0, ,1.1, ,11.9, ,80, ,8.5, ,2.6, ,302, ,16.4, 
214,Salinas South II,Monterey Bay,5/20/2018,0300,140,0.01, ,0.00, ,0, ,1.1, ,11.8, ,80, ,8.5, ,2.4, ,298, ,16.3, 
214,Salinas South II,Monterey Bay,5/20/2018,0400,140,0.01, ,0.00, ,0, ,1.1, ,11.7, ,81, ,8.6, ,2.4, ,295, ,16.2, 
214,Salinas South II,Monterey Bay,5/20/2018,0500,140,0.01, ,0.00, ,0, ,1.1, ,11.5, ,83, ,8.6, ,2.2, ,287, ,16.1, 
214,Salinas South II,Monterey Bay,5/20/2018,0600,140,0.02, ,0.00, ,10, ,1.1, ,11.7, ,80, ,8.5, ,2.3, ,285, ,16.0, 
214,Salinas South II,Monterey Bay,5/20/2018,0700,140,0.04, ,0.00, ,48, ,1.1, ,12.0, ,80, ,8.8, ,2.3, ,283, ,15.9, 
214,Salinas South II,Monterey Bay,5/20/2018,0800,140,0.08, ,0.00, ,137, ,1.1, ,12.8, ,76, ,8.7, ,2.4, ,284, ,15.8, 
214,Salinas South II,Monterey Bay,5/20/2018,0900,140,0.11, ,0.00, ,195, ,1.1, ,13.6, ,70, ,8.1, ,2.5, ,292, ,15.8, 
214,Salinas South II,Monterey Bay,5/20/2018,1000,140,0.18, ,0.00, ,314, ,1.1, ,14.3, ,67, ,8.2, ,3.0, ,292, ,15.8, 
214,Salinas South II,Monterey Bay,5/20/2018,1100,140,0.23, ,0.00, ,390, ,1.1, ,15.0, ,64, ,8.2, ,3.0, ,295, ,15.8, 
214,Salinas South II,Monterey Bay,5/20/2018,1200,140,0.35, ,0.00, ,542, ,1.1, ,15.6, ,61, ,8.2, ,3.2, ,301, ,15.9, 
214,Salinas South II,Monterey Bay,5/20/2018,1300,140,0.41, ,0.00, ,603, ,1.1, ,16.4, ,59, ,8.2, ,3.3, ,301, ,16.0, 
214,Salinas South II,Monterey Bay,5/20/2018,1400,140,0.22, ,0.00, ,352, ,1.1, ,15.7, ,60, ,7.9, ,3.6, ,305, ,16.2, 
214,Salinas South II,Monterey Bay,5/20/2018,1500,140,0.15, ,0.00, ,240, ,1.1, ,15.3, ,61, ,7.7, ,3.5, ,306, ,16.3, 
214,Salinas South II,Monterey Bay,5/20/2018,1600,140,0.14, ,0.00, ,212, ,1.1, ,14.5, ,65, ,7.9, ,3.6, ,297, ,16.4,Y
214,Salinas South II,Monterey Bay,5/20/2018,1700,140,0.09, ,0.00, ,114, ,1.1, ,13.8, ,68, ,8.0, ,3.3, ,297, ,16.4,Y
214,Salinas South II,Monterey Bay,5/20/2018,1800,140,0.07, ,0.00, ,69, ,1.1, ,13.4, ,70, ,8.2, ,3.1, ,293, ,16.4,Y
214,Salinas South II,Monterey Bay,5/20/2018,1900,140,0.03, ,0.00, ,11, ,1.1, ,13.0, ,73, ,8.3, ,2.9, ,290, ,16.4,Y
214,Salinas South II,Monterey Bay,5/20/2018,2000,140,0.02, ,0.00, ,0, ,1.1, ,12.7, ,76, ,8.6, ,2.8, ,293, ,16.3,Y
214,Salinas South II,Monterey Bay,5/20/2018,2100,140,0.02, ,0.00, ,0, ,1.1, ,12.5, ,77, ,8.6, ,2.9, ,292, ,16.2,Y
214,Salinas South II,Monterey Bay,5/20/2018,2200,140,0.02, ,0.00, ,0, ,1.1, ,12.4, ,78, ,8.7, ,2.8, ,296, ,16.1,Y
214,Salinas South II,Monterey Bay,5/20/2018,2300,140,0.02, ,0.00, ,0, ,1.1, ,12.3, ,79, ,8.7, ,2.7, ,297, ,16.0,Y
214,Salinas South II,Monterey Bay,5/20/2018,2400,140,0.02, ,0.00, ,0, ,1.1, ,12.1, ,79, ,8.6, ,2.9, ,293, ,15.9,Y
214,Salinas South II,Monterey Bay,5/21/2018,0100,141,0.01, ,0.00, ,0, ,1.1, ,11.7, ,82, ,8.7, ,2.8, ,290, ,15.8,Y
214,Salinas South II,Monterey Bay,5/21/2018,0200,141,0.00, ,0.00, ,0, ,1.2, ,11.3, ,87, ,9.2, ,2.3, ,294, ,15.7,Y
214,Salinas South II,Monterey Bay,5/21/2018,0300,141,0.00, ,0.00, ,0, ,1.2, ,11.1, ,90, ,9.4, ,2.0, ,288, ,15.6,Y
214,Salinas South II,Monterey Bay,5/21/2018,0400,141,0.00, ,0.00, ,0, ,1.2, ,11.1, ,90, ,9.5, ,1.7, ,284, ,15.5,Y
214,Salinas South II,Monterey Bay,5/21/2018,0500,141,0.00, ,0.00, ,0, ,1.2, ,11.1, ,90, ,9.5, ,1.7, ,290, ,15.5,Y
214,Salinas South II,Monterey Bay,5/21/2018,0600,141,0.00, ,0.00, ,5, ,1.2, ,11.1, ,90, ,9.5, ,1.4, ,293, ,15.4, 
214,Salinas South II,Monterey Bay,5/21/2018,0700,141,0.02, ,0.00, ,31, ,1.2, ,11.4, ,90, ,9.8, ,1.6, ,309, ,15.3, 
214,Salinas South II,Monterey Bay,5/21/2018,0800,141,0.06, ,0.00, ,126, ,1.3, ,12.0, ,89, ,10.3, ,2.1, ,327, ,15.3, 
214,Salinas South II,Monterey Bay,5/21/2018,0900,141,0.15, ,0.00, ,277, ,1.2, ,13.4, ,80, ,10.0, ,2.2, ,335, ,15.2, 
214,Salinas South II,Monterey Bay,5/21/2018,1000,141,0.14, ,0.00, ,279, ,1.2, ,14.1, ,76, ,9.9, ,2.4, ,339, ,15.2, 
214,Salinas South II,Monterey Bay,5/21/2018,1100,141,0.20, ,0.00, ,373, ,1.2, ,14.7, ,73, ,9.9, ,2.6, ,320, ,15.3,Y
214,Salinas South II,Monterey Bay,5/21/2018,1200,141,0.40, ,0.00, ,629, ,1.2, ,15.9, ,69, ,10.1, ,2.9, ,320, ,15.4,Y
214,Salinas South II,Monterey Bay,5/21/2018,1300,141,0.45, ,0.00, ,681, ,1.2, ,16.3, ,67, ,10.1, ,3.1, ,327, ,15.6,Y
214,Salinas South II,Monterey Bay,5/21/2018,1400,141,0.40, ,0.00, ,613, ,1.2, ,16.0, ,67, ,9.8, ,3.6, ,320, ,15.8,Y
214,Salinas South II,Monterey Bay,5/21/2018,1500,141,0.26, ,0.00, ,407, ,1.2, ,15.3, ,68, ,9.5, ,3.7, ,317, ,16.1,Y
214,Salinas South II,Monterey Bay,5/21/2018,1600,141,0.24, ,0.00, ,362, ,1.2, ,15.4, ,67, ,9.4, ,3.7, ,314, ,16.3,Y
214,Salinas South II,Monterey Bay,5/21/2018,1700,141,0.14, ,0.00, ,207, ,1.2, ,14.7, ,72, ,9.6, ,3.6, ,322, ,16.4,Y
214,Salinas South II,Monterey Bay,5/21/2018,1800,141,0.07, ,0.00, ,78, ,1.2, ,13.7, ,76, ,9.5, ,3.6, ,322, ,16.4,Y
214,Salinas South II,Monterey Bay,5/21/2018,1900,141,0.03, ,0.00, ,21, ,1.2, ,13.0, ,79, ,9.5, ,3.3, ,324, ,16.4,Y
214,Salinas South II,Monterey Bay,5/21/2018,2000,141,0.01, ,0.00, ,0, ,1.2, ,12.6, ,81, ,9.4, ,3.1, ,318, ,16.3,Y
214,Salinas South II,Monterey Bay,5/21/2018,2100,141,0.01, ,0.00, ,0, ,1.2, ,12.2, ,83, ,9.5, ,3.3, ,323, ,16.2,Y
214,Salinas South II,Monterey Bay,5/21/2018,2200,141,0.01, ,0.00, ,0, ,1.2, ,12.1, ,85, ,9.6, ,3.1, ,327, ,16.1,Y
214,Salinas South II,Monterey Bay,5/21/2018,2300,141,0.01, ,0.00, ,0, ,1.2, ,12.0, ,86, ,9.6, ,2.9, ,330, ,16.0,Y
214,Salinas South II,Monterey Bay,5/21/2018,2400,141,0.01, ,0.00, ,0, ,1.2, ,11.9, ,85, ,9.5, ,2.7, ,309, ,15.9,Y
214,Salinas South II,Monterey Bay,5/22/2018,0100,142,0.00, ,0.00, ,0, ,1.2, ,11.8, ,86, ,9.6, ,2.3, ,318, ,15.8,Y
214,Salinas South II,Monterey Bay,5/22/2018,0200,142,0.00, ,0.00, ,0, ,1.2, ,11.6, ,89, ,9.8, ,1.8, ,324, ,15.7,Y
214,Salinas South II,Monterey Bay,5/22/2018,0300,142,0.00, ,0.00, ,0, ,1.2, ,11.4, ,92, ,10.0, ,1.6, ,317, ,15.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,0400,142,0.00, ,0.00, ,0, ,1.2, ,11.2, ,92, ,9.9, ,1.6, ,310, ,15.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,0500,142,0.00, ,0.00, ,0, ,1.2, ,11.1, ,93, ,10.0, ,1.3, ,354, ,15.5,Y
214,Salinas South II,Monterey Bay,5/22/2018,0600,142,0.01, ,0.00, ,22, ,1.2, ,11.2, ,93, ,10.1, ,1.3, ,342, ,15.4, 
214,Salinas South II,Monterey Bay,5/22/2018,0700,142,0.05, ,0.00, ,86, ,1.3, ,11.6, ,92, ,10.4, ,1.4, ,329, ,15.4, 
214,Salinas South II,Monterey Bay,5/22/2018,0800,142,0.06, ,0.00, ,133, ,1.3, ,12.2, ,89, ,10.4, ,1.5, ,310, ,15.3, 
214,Salinas South II,Monterey Bay,5/22/2018,0900,142,0.11, ,0.00, ,243, ,1.3, ,12.9, ,85, ,10.5, ,1.6, ,316, ,15.3, 
214,Salinas South II,Monterey Bay,5/22/2018,1000,142,0.13, ,0.00, ,279, ,1.3, ,13.6, ,81, ,10.4, ,1.7, ,333, ,15.3, 
214,Salinas South II,Monterey Bay,5/22/2018,1100,142,0.14, ,0.00, ,293, ,1.2, ,14.6, ,74, ,9.9, ,1.8, ,335, ,15.4,Y
214,Salinas South II,Monterey Bay,5/22/2018,1200,142,0.18, ,0.00, ,361, ,1.2, ,14.9, ,73, ,10.1, ,2.2, ,326, ,15.5,Y
214,Salinas South II,Monterey Bay,5/22/2018,1300,142,0.40, ,0.00, ,626, ,1.2, ,16.4, ,66, ,10.1, ,2.8, ,322, ,15.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,1400,142,0.44, ,0.00, ,662, ,1.2, ,16.9, ,63, ,9.9, ,3.2, ,325, ,15.8,Y
214,Salinas South II,Monterey Bay,5/22/2018,1500,142,0.49, ,0.00, ,722, ,1.2, ,17.4, ,61, ,9.8, ,3.4, ,322, ,16.1,Y
214,Salinas South II,Monterey Bay,5/22/2018,1600,142,0.26, ,0.00, ,384, ,1.2, ,16.0, ,66, ,9.6, ,3.4, ,321, ,16.3,Y
214,Salinas South II,Monterey Bay,5/22/2018,1700,142,0.10, ,0.00, ,139, ,1.2, ,14.6, ,72, ,9.7, ,3.1, ,315, ,16.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,1800,142,0.05, ,0.00, ,57, ,1.2, ,13.7, ,77, ,9.7, ,2.9, ,320, ,16.7,Y
214,Salinas South II,Monterey Bay,5/22/2018,1900,142,0.02, ,0.00, ,12, ,1.2, ,13.1, ,79, ,9.5, ,2.7, ,324, ,16.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,2000,142,0.01, ,0.00, ,0, ,1.2, ,12.7, ,81, ,9.5, ,2.3, ,316, ,16.6,Y
214,Salinas South II,Monterey Bay,5/22/2018,2100,142,0.01, ,0.00, ,0, ,1.2, ,12.4, ,84, ,9.8, ,2.1, ,322, ,16.5,Y
214,Salinas South II,Monterey Bay,5/22/2018,2200,142,0.00, ,0.00, ,0, ,1.2, ,12.2, ,86, ,9.9, ,1.9, ,320, ,16.4,Y
214,Salinas South II,Monterey Bay,5/22/2018,2300,142,0.00, ,0.00, ,0, ,1.2, ,12.0, ,88, ,10.1, ,1.8, ,311, ,16.3,Y
214,Salinas South II,Monterey Bay,5/22/2018,2400,142,0.00, ,0.00, ,0, ,1.2, ,12.0, ,86, ,9.8, ,1.5, ,309, ,16.1,Y
214,Salinas South II,Monterey Bay,5/23/2018,0100,143,0.00, ,0.00, ,0, ,1.2, ,11.9, ,87, ,9.8, ,1.3, ,331, ,16.1,Y
214,Salinas South II,Monterey Bay,5/23/2018,0200,143,0.00, ,0.00, ,0, ,1.2, ,11.5, ,91, ,10.0, ,1.0, ,360, ,16.0,Y
214,Salinas South II,Monterey Bay,5/23/2018,0300,143,0.00, ,0.00, ,0, ,1.3, ,11.3, ,93, ,10.3, ,0.8, ,17, ,15.9,Y
214,Salinas South II,Monterey Bay,5/23/2018,0400,143,0.00, ,0.10, ,0, ,1.3, ,11.2, ,94, ,10.4, ,0.4, ,348, ,15.8, 
214,Salinas South II,Monterey Bay,5/23/2018,0500,143,0.00, ,0.00, ,1, ,1.3, ,11.2, ,95, ,10.4, ,0.6, ,342, ,15.7, 
214,Salinas South II,Monterey Bay,5/23/2018,0600,143,0.01, ,0.00, ,44, ,1.3, ,11.3, ,95, ,10.6, ,1.1, ,357, ,15.7, 
214,Salinas South II,Monterey Bay,5/23/2018,0700,143,0.07, ,0.00, ,121, ,1.3, ,12.0, ,93, ,10.9, ,1.2, ,340, ,15.6, 
214,Salinas South II,Monterey Bay,5/23/2018,0800,143,0.13, ,0.00, ,254, ,1.3, ,12.9, ,89, ,11.0, ,1.1, ,335, ,15.5, 
214,Salinas South II,Monterey Bay,5/23/2018,0900,143,0.07, ,0.00, ,173, ,1.3, ,13.3, ,84, ,10.7, ,0.7, ,357, ,15.5, 
214,Salinas South II,Monterey Bay,5/23/2018,1000,143,0.04, ,0.00, ,145, ,1.3, ,13.7, ,82, ,10.6, ,1.3, ,343, ,15.6, 
214,Salinas South II,Monterey Bay,5/23/2018,1100,143,0.08, ,0.00, ,225, ,1.3, ,14.3, ,77, ,10.4, ,0.8, ,346, ,15.7, 
214,Salinas South II,Monterey Bay,5/23/2018,1200,143,0.19, ,0.00, ,381, ,1.3, ,15.4, ,71, ,10.3, ,1.3, ,323, ,15.7,Y
214,Salinas South II,Monterey Bay,5/23/2018,1300,143,0.45, ,0.00, ,697, ,1.3, ,17.2, ,65, ,10.4, ,2.0, ,313, ,15.9,Y
214,Salinas South II,Monterey Bay,5/23/2018,1400,143,0.41, ,0.00, ,612, ,1.3, ,17.3, ,64, ,10.5, ,2.8, ,315, ,16.1,Y
214,Salinas South II,Monterey Bay,5/23/2018,1500,143,0.48, ,0.00, ,710, ,1.3, ,17.8, ,62, ,10.3, ,3.1, ,312, ,16.4, 
214,Salinas South II,Monterey Bay,5/23/2018,1600,143,0.38, ,0.00, ,550, ,1.2, ,17.5, ,61, ,9.9, ,3.2, ,311, ,16.6, 
214,Salinas South II,Monterey Bay,5/23/2018,1700,143,0.25, ,0.00, ,354, ,1.2, ,16.3, ,65, ,9.8, ,3.5, ,300, ,16.9, 
214,Salinas South II,Monterey Bay,5/23/2018,1800,143,0.14, ,0.00, ,188, ,1.2, ,15.2, ,69, ,9.6, ,3.2, ,307, ,17.0, 
214,Salinas South II,Monterey Bay,5/23/2018,1900,143,0.04, ,0.00, ,32, ,1.2, ,14.2, ,73, ,9.5, ,2.6, ,317, ,17.1,Y
214,Salinas South II,Monterey Bay,5/23/2018,2000,143,0.01, ,0.00, ,1, ,1.2, ,13.6, ,75, ,9.2, ,2.6, ,326, ,17.0,Y
214,Salinas South II,Monterey Bay,5/23/2018,2100,143,0.01, ,0.00, ,0, ,1.1, ,13.1, ,76, ,9.0, ,2.2, ,324, ,16.9,Y
214,Salinas South II,Monterey Bay,5/23/2018,2200,143,0.00, ,0.00, ,0, ,1.2, ,12.6, ,82, ,9.7, ,1.9, ,348, ,16.8,Y
214,Salinas South II,Monterey Bay,5/23/2018,2300,143,0.00, ,0.00, ,0, ,1.2, ,12.7, ,81, ,9.6, ,1.7, ,330, ,16.6,Y
214,Salinas South II,Monterey Bay,5/23/2018,2400,143,0.00, ,0.00, ,0, ,1.1, ,12.9, ,77, ,9.0, ,1.3, ,327, ,16.5,Y
214,Salinas South II,Monterey Bay,5/24/2018,0100,144,0.01, ,0.00, ,0, ,1.2, ,12.7, ,80, ,9.3, ,1.3, ,326, ,16.4,Y
214,Salinas South II,Monterey Bay,5/24/2018,0200,144,0.01, ,0.00, ,0, ,1.2, ,12.6, ,80, ,9.2, ,1.4, ,295, ,16.3, 
214,Salinas South II,Monterey Bay,5/24/2018,0300,144,0.01, ,0.00, ,0, ,1.2, ,12.5, ,79, ,9.0, ,1.5, ,298, ,16.2, 
214,Salinas South II,Monterey Bay,5/24/2018,0400,144,0.01, ,0.00, ,0, ,1.2, ,12.4, ,80, ,9.0, ,1.5, ,297, ,16.1, 
214,Salinas South II,Monterey Bay,5/24/2018,0500,144,0.01, ,0.00, ,0, ,1.1, ,12.3, ,80, ,8.9, ,1.5, ,296, ,16.0, 
214,Salinas South II,Monterey Bay,5/24/2018,0600,144,0.01, ,0.00, ,12, ,1.2, ,12.3, ,81, ,9.0, ,1.2, ,307, ,16.0, 
214,Salinas South II,Monterey Bay,5/24/2018,0700,144,0.04, ,0.00, ,62, ,1.2, ,12.5, ,80, ,9.2, ,1.2, ,304, ,15.9, 
214,Salinas South II,Monterey Bay,5/24/2018,0800,144,0.06, ,0.00, ,120, ,1.2, ,12.8, ,78, ,9.2, ,1.2, ,311, ,15.8, 
214,Salinas South II,Monterey Bay,5/24/2018,0900,144,0.10, ,0.00, ,221, ,1.2, ,13.4, ,77, ,9.4, ,1.0, ,304, ,15.8, 
214,Salinas South II,Monterey Bay,5/24/2018,1000,144,0.14, ,0.00, ,290, ,1.2, ,14.4, ,72, ,9.5, ,0.7, ,21, ,15.8, 
214,Salinas South II,Monterey Bay,5/24/2018,1100,144,0.13, ,0.00, ,296, ,1.2, ,14.9, ,71, ,9.7, ,0.7, ,149, ,15.9, 
214,Salinas South II,Monterey Bay,5/24/2018,1200,144,0.11, ,0.00, ,261, ,1.2, ,15.6, ,68, ,9.8, ,1.3, ,318, ,16.0, 
214,Salinas South II,Monterey Bay,5/24/2018,1300,144,0.20, ,0.00, ,382, ,1.2, ,15.6, ,69, ,9.8, ,2.3, ,315, ,16.2, 
214,Salinas South II,Monterey Bay,5/24/2018,1400,144,0.23, ,0.00, ,406, ,1.2, ,15.9, ,68, ,10.0, ,2.4, ,316, ,16.3, 
214,Salinas South II,Monterey Bay,5/24/2018,1500,144,0.28, ,0.00, ,428, ,1.2, ,16.6, ,64, ,9.8, ,2.8, ,323, ,16.5, 
214,Salinas South II,Monterey Bay,5/24/2018,1600,144,0.23, ,0.00, ,341, ,1.1, ,16.0, ,62, ,8.7, ,3.3, ,323, ,16.6, 
214,Salinas South II,Monterey Bay,5/24/2018,1700,144,0.13, ,0.00, ,176, ,1.1, ,15.3, ,64, ,8.4, ,3.0, ,328, ,16.7,Y
214,Salinas South II,Monterey Bay,5/24/2018,1800,144,0.07, ,0.00, ,64, ,1.1, ,14.3, ,70, ,8.8, ,2.7, ,330, ,16.8,Y
214,Salinas South II,Monterey Bay,5/24/2018,1900,144,0.03, ,0.00, ,14, ,1.2, ,13.7, ,74, ,9.1, ,2.4, ,327, ,16.7,Y
214,Salinas South II,Monterey Bay,5/24/2018,2000,144,0.01, ,0.00, ,0, ,1.2, ,13.4, ,77, ,9.4, ,1.9, ,326, ,16.7,Y
